Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
140,1Au1PEH71fsKfhgHSGN77CmH9tVmURriAY,"1,000 BTC ((103,440,183)",0.0050328%,2012-08-06 23:55:14,2025-02-06 14:01:29,25,,,
141,1Au17NJipcVz2CDbVJBYBajR4AkinbLT7P,"1,000 BTC ((103,416,311)",0.0050316%,2012-10-20 14:54:07,2025-02-06 19:00:14,26,,,
142,18xjbYXKfohTNrX41g1GAzzjh1sjJPzRqd,"1,000 BTC ((103,416,170)",0.0050316%,2012-12-05 00:48:29,2025-02-06 19:00:14,24,,,
143,1PmLAqBiiCTpq6hc8BJ3wa8hJtyjNPdvHE,"1,000 BTC ((103,416,170)",0.0050316%,2013-11-06 07:06:02,2025-02-06 19:07:12,27,,,
144,1EqGWHKPrJZzLzUFTULLA3caYnQv53wQJP,"1,000 BTC ((103,416,169)",0.0050316%,2013-04-28 22:16:11,2025-02-06 19:49:47,25,,,
145,1AwpCykpTxiNhu6eTH62YcXVfBEcTM4Sai,"1,000 BTC ((103,416,159)",0.0050316%,2012-01-12 16:30:51,2025-02-06 19:49:47,25,,,
146,12zgpEbXRs9JzXRckvdkQFfu99jn521Dfi,"1,000 BTC ((103,416,128)",0.0050316%,2013-12-03 19:55:53,2025-02-06 19:49:47,31,,,
147,1Dg5eLjUu8tp5Rhkq1iG9XNPoryrPLQA15,"1,000 BTC ((103,416,125)",0.0050316%,2012-12-05 05:06:31,2025-02-06 19:49:47,27,,,
148,1Ab1BCNuYwGtfDKgJWh81zbeyB7HWNc9xJ,"1,000 BTC ((103,416,121)",0.0050316%,2012-12-05 04:39:14,2025-02-06 19:49:47,27,,,
149,1Mnc9YWgfSyyut8wdKDNznYhi2NvYnsqCw,"1,000 BTC ((103,416,100)",0.0050316%,2011-05-17 04:23:10,2025-02-06 20:38:08,30,2011-05-17 11:32:40,2011-05-17 11:32:40,1
150,1Au1uZnK87eUMoJKRL9S3wroM29AiUQtL5,"1,000 BTC ((103,416,088)",0.0050316%,2011-12-21 09:36:38,2025-02-06 20:38:08,27,,,
151,1DFxKaDmq1cuzLjo949quvWqPA3UVu3hP7,"1,000 BTC ((103,416,088)",0.0050316%,2012-12-05 06:02:37,2025-02-06 20:38:08,26,,,
152,1LcKmgPFaXpJui5LMbaogk7A88kwdJK9Rg,"1,000 BTC ((103,416,087)",0.0050316%,2012-12-04 13:24:34,2025-02-06 20:38:08,25,,,
153,16hr6GDzWvBrkhSg5337jTrUnrs7Z9GdS9,"1,000 BTC ((103,416,087)",0.0050316%,2013-11-06 07:09:01,2025-02-06 20:38:08,26,,,
154,16TkpJm34XjeVdZZckTWAn1dqYbX5v7K4a,"1,000 BTC ((103,416,087)",0.0050316%,2013-11-06 07:06:02,2025-02-06 20:38:08,27,,,
155,13aNpzpiRe2VfupbroMWv68Q2VbJrnWdXP,"1,000 BTC ((103,416,087)",0.0050316%,2013-04-26 15:52:09,2025-02-06 20:38:08,25,,,
156,1H1ECjR96iAiTpiVaooQwcV9JHxf57vg2m,"1,000 BTC ((103,416,087)",0.0050316%,2013-04-26 15:52:09,2025-02-06 20:38:08,24,,,
157,14WWrJMGPo43mAoLXoH53pREAEUAFFW66T,"1,000 BTC ((103,416,079)",0.0050316%,2010-07-23 00:44:53,2025-02-06 20:38:08,26,,,
158,1Au1fALPbBY4qA1YRPUC9GBKm8gAZJ1CCN,"1,000 BTC ((103,416,076)",0.0050316%,2013-08-20 03:13:32,2025-02-06 20:38:08,25,,,
159,1Dbvh6L8Ce22bnfe4uMVqXZb19ift8ohqx,"1,000 BTC ((103,416,070)",0.0050316%,2013-04-28 22:16:11,2025-02-06 20:38:08,25,,,
160,12dvRka7H1AydknnwqdsX9trXHbNZFzE57,"1,000 BTC ((103,416,069)",0.0050316%,2012-12-05 05:35:59,2025-02-06 20:42:00,28,,,
161,1L9oHjwBs5VVtrKFT6gXMAwqdobfhMZaWF,"1,000 BTC ((103,416,069)",0.0050316%,2012-12-05 02:19:46,2025-02-06 20:42:00,26,,,
